section,measure,category,count,denominator,percent,value,value_text,unit,denominator_definition,response_type,work_ids,note
Phrase co-occurrence,Same-work phrase pair,standardized patient + assessment or scoring,39,485,8.0,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;0835d7fde9c090ca963c;0a25081e59bfa2406a89;1158803af3fb0ab9c072;19e84bd61f0782eec51c;240393927e83854aac9b;27940ac9615817e019e3;2c33e3b00e199776ba05;302dee907e926e18ddba;32b43fcb025a9d77581f;3a2d4841832fea8715fe;4fdab8147c5288a598e6;53e73c84997817856e1f;582bc7c400fa7acf214f;5aeb6b891099b95aa832;5da1c6c1e35204ff7f9d;64d8153970a657aa23b0;67e2860b474712736027;6e7213516f82875618ff;73a1f91733c91359d5f0;76597dc445d9df2ae743;7713a8c3085fddc6419c;7ab76d429b6539b40243;7bda59402c9478eda64c;86d7e55b4cfd49b202f0;87dd3b9b5e7ef2d3f457;8ad0258644c0c312a7d8;9b5ff9099d241db5f86a;a4f6e4afd67cbf667f95;b4fa4675ffa2674da6e1;c837d77a482b4e089619;d90096afc3b383fbecb7;e5814fecd144cc3fe016;ebc2ea10b1b751d8e58c;ed80b78f8297d945224d;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;f917e0b66cef158b9df0;sci_829c4bcf5b773dba44a2,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,virtual patient + standardized patient,39,485,8.0,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,038dc9e15385ce662149;0394426a6c4e7afe938e;0835d7fde9c090ca963c;19e84bd61f0782eec51c;1c073acedd6171c3394d;35ffd2cef7df5e4ea7fc;3a2d4841832fea8715fe;3a87ecbc1ceea37e2382;432422a165ddc6a24c2f;53e73c84997817856e1f;581dc0790951c1557bba;58483951ebaed609e26a;59ac00c951a84da39213;5da1c6c1e35204ff7f9d;6e7213516f82875618ff;76597dc445d9df2ae743;766fde2e997ea8140bd0;76a6c8049ee4223224f6;7a9ca4d4d16f4705139f;7f84c902e862e25dbf2c;81087c9bc5a7366ff084;86f76ce0ac18d03915b2;8ad0258644c0c312a7d8;8bece1a102e2fe87b74e;8ce5650fcd50af3976ab;907d492e03a26ae110b8;98c23d01b9fb23bd43c4;9b8b66d55c35b17e843c;b191e9f77e079eab9ed3;b608f772e32f2dbbff5e;b94b9bcb1d96d93db9c0;c837d77a482b4e089619;d0ead936020ec24f78a7;d3f99e099b9310de57e3;d90096afc3b383fbecb7;da4715a1835405ea02b7;e5814fecd144cc3fe016;ed80b78f8297d945224d;f74b171e97e291bab8d3,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,objective structured clinical examination + assessment or scoring,38,485,7.8,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;03dcc8a1b078476d19e0;0a25081e59bfa2406a89;0c75f057197182777687;11f31f18ad70545cab85;27940ac9615817e019e3;296fc2ba93325a6b3ed0;302dee907e926e18ddba;31f58d5793ca1ef590ea;44090e715310ee158f37;4f796e0ce90dce8d4da8;4fdab8147c5288a598e6;55c688efa556cdf3a77e;5aeb6b891099b95aa832;5e9d52b66e4686a38781;67e2860b474712736027;68306d2649f0e34ccfa7;6ab002878664147423a1;7713a8c3085fddc6419c;7f98755e27ed54f044ae;86d7e55b4cfd49b202f0;94dc4442e5bc1f047433;9b5ff9099d241db5f86a;9d0e015a74d4a026b092;b216d2e3bbb753147fd2;b4fa4675ffa2674da6e1;bed98da775e40e17c44e;c837d77a482b4e089619;d02cfb250e397dd52db5;d7a2412d7fe5f7bee1e5;dcce0a8cef5543c4fec4;eb664530dc232a9e1750;eb8b75c75edacbfa547b;ebc2ea10b1b751d8e58c;ed80b78f8297d945224d;ef046f239f256df5f180;f1b256cdccd6208d0cc8;ffe994fbb4a27b100f16,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,objective structured clinical examination + medical or health-professions education,38,485,7.8,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;0a25081e59bfa2406a89;0c75f057197182777687;1c5402a057ba8f451244;243562012607f7033171;27940ac9615817e019e3;296fc2ba93325a6b3ed0;302dee907e926e18ddba;31f58d5793ca1ef590ea;34ea437817489bccb36b;44090e715310ee158f37;4b7753ecc7bff0d54289;4f796e0ce90dce8d4da8;548ca816901c7761f0bf;55c688efa556cdf3a77e;594d7ce86781a2e8398f;5aeb6b891099b95aa832;67e2860b474712736027;68306d2649f0e34ccfa7;6ab002878664147423a1;86d7e55b4cfd49b202f0;8ce5650fcd50af3976ab;8fa1ae6b843e2388520d;91738aa3fb8146efb96d;94dc4442e5bc1f047433;9b5ff9099d241db5f86a;9d0e015a74d4a026b092;aea68236a77645892d74;b216d2e3bbb753147fd2;b3e39792f96130f4a0b4;c837d77a482b4e089619;d02cfb250e397dd52db5;d7a2412d7fe5f7bee1e5;da4715a1835405ea02b7;eb8b75c75edacbfa547b;ebc2ea10b1b751d8e58c;ed072d60d05f5e236143;ed80b78f8297d945224d,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,chatbot or conversational agent + medical or health-professions education,35,485,7.2,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;03345c1deb2aad29820e;04b48ce4dda567febfa2;0a25081e59bfa2406a89;0b386fbba1d6908a565d;14e96fc7b4c3181fd39b;18f9eaf414ec69e25aad;31f58d5793ca1ef590ea;328dc44eb7208308940c;37bb0c4c182653ebb8f9;416753b67d9e900455c8;432422a165ddc6a24c2f;43f6ad0fa6f4597d56fc;56dc16bbc7cd98ca993a;582bc7c400fa7acf214f;594824ec9813877abe34;594d7ce86781a2e8398f;5b356113a239c62ba5ac;6457c6be7c6ba150ede6;73cb9769cd2180a04bb0;79301031755b16db8fe6;a32c2fb665f05ef6086f;abda3007be07a5153c0c;af9edf1f4c2a0c11a5eb;b2f1db675b2599e354ab;b4ed643f7430dbf0ccb9;ba402925b430558ae1e0;cfa4cceea1f21315935e;e2a36443154e9a33aff9;eb0a6b505c3ccc9e534d;ed072d60d05f5e236143;fa24b39d9c9c2f6142d6;ff3b7f48f6f586cf90b7;sci_1b84a9e2391f6779175c;sci_42199d910f14a1707aa3,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,communication skills + assessment or scoring,34,485,7.0,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;03dcc8a1b078476d19e0;0835d7fde9c090ca963c;0b1e929029c5b43c5beb;12a5244797e0de4599d0;217a1796806e392c3e77;31f58d5793ca1ef590ea;38da855b4155bb083590;3a2d4841832fea8715fe;44090e715310ee158f37;44d09fb5dabfde2e9e31;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;50ac103890932b40242c;5aa2066f4c78fde5a50b;6457c6be7c6ba150ede6;64a85483f87115653128;73cb9769cd2180a04bb0;7ab76d429b6539b40243;86d7e55b4cfd49b202f0;87dd3b9b5e7ef2d3f457;8a18fabf9cf9be3f8a36;8ad0258644c0c312a7d8;8f2528d2ba0e05485210;9053eb63f4358c343310;a9588de788e2402350be;afc8c786ca5b65ba8c74;bad1f4fb855554cb4aba;d885762caf8919afe125;d90096afc3b383fbecb7;dcce0a8cef5543c4fec4;df5127c0b752274d452e;f917e0b66cef158b9df0;sci_a90d053bc1db526acda9,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,virtual patient + simulated patient,32,485,6.6,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;038dc9e15385ce662149;0de698b6ef36192c9365;0fe5747ae7b23830be21;20e73ed62a3078e6a9b4;282aa7d3820de53059e9;34ea437817489bccb36b;35ffd2cef7df5e4ea7fc;432422a165ddc6a24c2f;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;50ac103890932b40242c;58483951ebaed609e26a;59ac00c951a84da39213;73cb9769cd2180a04bb0;7938acbdb4523b82db58;8db4130844dc8d367d1f;907d492e03a26ae110b8;98c23d01b9fb23bd43c4;9d0e015a74d4a026b092;af881e87f70fad542887;afc8c786ca5b65ba8c74;b3a8d73bf08119c4ce68;bd2cdf16f21f3814f67d;d977c356ff57ab060fef;da8839d00c24db7f6ad6;df5127c0b752274d452e;e2a36443154e9a33aff9;ea35181a48e801132195;f5e8d39c518465a0d255;fd0c4ec164cda596074b;sci_0deb435b497fb81c6d22,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,virtual patient + virtual reality,32,485,6.6,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,0394426a6c4e7afe938e;0a2c09d04e10e0478041;0aad164402f8e4deea3b;166aa3cc368ebd076b91;1c9542cefba3287a5281;217a1796806e392c3e77;25f6a5df250f3ed0360b;30b04ea7e17c283383c8;319d5b791f54df181b23;35ffd2cef7df5e4ea7fc;3adc77e0b0502fcefcc3;401238697481e3dbe32e;5245cf325337d81e78ff;5da1c6c1e35204ff7f9d;64a85483f87115653128;713e417da7d85579b2d1;73cb9769cd2180a04bb0;758d651bc8d5020199f1;7938acbdb4523b82db58;7b19776512fecc94e643;8db4130844dc8d367d1f;a4d746b41f7f88ceb127;b191e9f77e079eab9ed3;c4f5fe90704c2aa68c75;d46506f34cc784478c88;de583e684ddd0364a161;e73b99fafd0009a6e927;f97eadc969f29dc262e7;fa24b39d9c9c2f6142d6;sci_0deb435b497fb81c6d22;sci_aea73a0d6d3e592a48a0;sci_f2cc5417df9af41a5165,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,medical or health-professions education + decision-making,31,485,6.4,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,088f42aecd2674d3dbe5;0a56637c161743569cf5;180163049fadb98a0ef8;1b913a0ed3ab13c6f644;359e1289e1f098bb36e2;37bb0c4c182653ebb8f9;3b0e82db448631888b4c;432422a165ddc6a24c2f;43f6ad0fa6f4597d56fc;47160b043b610b447eca;59ac00c951a84da39213;5d6128771afb1cccb251;6fb769efa53620e383b7;7442954006aac8fa63fa;766fde2e997ea8140bd0;78b358c1b1f53fdbc100;7acd89712f3fc0bb4cb7;87dd3b9b5e7ef2d3f457;9ba2ceb3ea808e2794a1;a2883a095e505041a802;b3e39792f96130f4a0b4;b4ed643f7430dbf0ccb9;bda47b5b58b47ca77285;cb97375c66ea36d11d94;d6b29e9cea0c868cc28e;d977c356ff57ab060fef;de583e684ddd0364a161;eb6ba637fab26b824344;f41f37dbb22b9ed8ae7c;fb4436cacb550c46d347;sci_d54eaf2ee85c6160a060,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,standardized patient + communication skills,31,485,6.4,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;0394426a6c4e7afe938e;0835d7fde9c090ca963c;14e96fc7b4c3181fd39b;18f9eaf414ec69e25aad;1c073acedd6171c3394d;24c93ac0955292251f20;327767a02786d8ff7a19;35ffd2cef7df5e4ea7fc;3a2d4841832fea8715fe;3a87ecbc1ceea37e2382;58483951ebaed609e26a;76a6c8049ee4223224f6;7ab76d429b6539b40243;81087c9bc5a7366ff084;86d7e55b4cfd49b202f0;86f76ce0ac18d03915b2;87dd3b9b5e7ef2d3f457;8ad0258644c0c312a7d8;9717d5f24495686aabe2;98c23d01b9fb23bd43c4;9b8b66d55c35b17e843c;b191e9f77e079eab9ed3;d0ead936020ec24f78a7;d90096afc3b383fbecb7;da920e8320da57a1954a;e4987ba5c8f46735e9ff;f4d7fdee2c3cc083329d;f74b171e97e291bab8d3;f917e0b66cef158b9df0;fd1a9c7f0b28a609f8af,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,simulated patient + communication skills,29,485,6.0,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,00dc13a955ae4496d4ca;01a746b554d461cb998c;0b386fbba1d6908a565d;0de698b6ef36192c9365;14e96fc7b4c3181fd39b;1c5402a057ba8f451244;24c93ac0955292251f20;35ffd2cef7df5e4ea7fc;37bb0c4c182653ebb8f9;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;50ac103890932b40242c;58483951ebaed609e26a;594d7ce86781a2e8398f;668b98624eeda1089d99;73cb9769cd2180a04bb0;86d7e55b4cfd49b202f0;8db4130844dc8d367d1f;8fa1ae6b843e2388520d;98c23d01b9fb23bd43c4;afc8c786ca5b65ba8c74;b3a8d73bf08119c4ce68;ba402925b430558ae1e0;bd2cdf16f21f3814f67d;dcce0a8cef5543c4fec4;df5127c0b752274d452e;e4987ba5c8f46735e9ff;ed072d60d05f5e236143;f4d7fdee2c3cc083329d,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,communication skills + clinical reasoning,26,485,5.4,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,03345c1deb2aad29820e;0394426a6c4e7afe938e;1b913a0ed3ab13c6f644;217a1796806e392c3e77;3592795dfee0e066000a;35ffd2cef7df5e4ea7fc;38da855b4155bb083590;44d09fb5dabfde2e9e31;50ac103890932b40242c;592d3957693502aad933;594d7ce86781a2e8398f;6457c6be7c6ba150ede6;668b98624eeda1089d99;73cb9769cd2180a04bb0;7ab76d429b6539b40243;86d7e55b4cfd49b202f0;86f76ce0ac18d03915b2;8db4130844dc8d367d1f;9053eb63f4358c343310;b3a8d73bf08119c4ce68;d0ead936020ec24f78a7;eb6ba637fab26b824344;ed072d60d05f5e236143;f917e0b66cef158b9df0;ff3b7f48f6f586cf90b7;sci_333316fb42bc0b910010,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,role-play + medical or health-professions education,26,485,5.4,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;04b48ce4dda567febfa2;1158803af3fb0ab9c072;1b087547ad0e2e8a3fa3;1c073acedd6171c3394d;243562012607f7033171;328dc44eb7208308940c;3a2d4841832fea8715fe;415ba4f99eeb473a50c2;4252b0b43599d37a154a;432422a165ddc6a24c2f;594824ec9813877abe34;668b98624eeda1089d99;76597dc445d9df2ae743;7a9ca4d4d16f4705139f;81087c9bc5a7366ff084;81e99943a71c35f1b5e2;a9588de788e2402350be;af9edf1f4c2a0c11a5eb;b3e39792f96130f4a0b4;ba402925b430558ae1e0;d90096afc3b383fbecb7;df5127c0b752274d452e;eb0a6b505c3ccc9e534d;ed072d60d05f5e236143;fa24b39d9c9c2f6142d6,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,simulated patient + assessment or scoring,26,485,5.4,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,0a25081e59bfa2406a89;240393927e83854aac9b;282aa7d3820de53059e9;296fc2ba93325a6b3ed0;4823a4ac11c66c68a7d4;4f06f0d72a1de087b5c5;4f796e0ce90dce8d4da8;50ac103890932b40242c;54972cda535948a803e8;60f8f44c77f909f61dc3;63c69a200d415bc42d9b;6d85b580a0562cc121d4;73cb9769cd2180a04bb0;7571d4d2871565bc5c1c;8094cb5448e9c4e2f371;86d7e55b4cfd49b202f0;9ba2ceb3ea808e2794a1;9d0e015a74d4a026b092;afc8c786ca5b65ba8c74;da8839d00c24db7f6ad6;dcce0a8cef5543c4fec4;df5127c0b752274d452e;ea35181a48e801132195;f41f37dbb22b9ed8ae7c;f4631b37b9a1fd57d914;fd0c4ec164cda596074b,Descriptive same-work co-occurrence only.
Phrase co-occurrence,Same-work phrase pair,chatbot or conversational agent + communication skills,25,485,5.2,,,canonical works,all canonical works,multiple response pair; minimum pair count 3,01a746b554d461cb998c;03345c1deb2aad29820e;0394426a6c4e7afe938e;06baad752a52246f7f43;0b386fbba1d6908a565d;14e96fc7b4c3181fd39b;18f9eaf414ec69e25aad;31f58d5793ca1ef590ea;37bb0c4c182653ebb8f9;594d7ce86781a2e8398f;5b356113a239c62ba5ac;5b529e4bc562ac2c093e;6457c6be7c6ba150ede6;64a85483f87115653128;73cb9769cd2180a04bb0;8ad0258644c0c312a7d8;af9edf1f4c2a0c11a5eb;afc8c786ca5b65ba8c74;b3a8d73bf08119c4ce68;ba402925b430558ae1e0;bd2cdf16f21f3814f67d;e4987ba5c8f46735e9ff;ed072d60d05f5e236143;ff3b7f48f6f586cf90b7;sci_a90d053bc1db526acda9,Descriptive same-work co-occurrence only.
